0 0 0 100
1 0 -100 0
2 0 0 -100
3 0 100 0
4 0 100 25
5 0 75 0
6 0 100 -25
7 0 125 0
8 0 0 -75
9 0 -25 -100
10 0 0 -125
11 0 25 -100
12 0 -100 25
13 0 -125 0
14 0 -100 -25
15 0 -75 0
16 0 0 125
17 0 -25 100
18 0 0 75
19 0 25 100
0 1 0 100
1 1 -100 0
2 1 0 -100
3 1 100 0
4 1 100 25
5 1 75 0
6 1 100 -25
7 1 125 0
8 1 0 -75
9 1 -25 -100
10 1 0 -125
11 1 25 -100
12 1 -100 25
13 1 -125 0
14 1 -100 -25
15 1 -75 0
16 1 0 125
17 1 -25 100
18 1 0 75
19 1 40 80
0 2 0 100
1 2 -100 0
2 2 0 -100
3 2 100 0
4 2 100 25
5 2 75 0
6 2 100 -25
7 2 125 0
8 2 0 -75
9 2 -25 -100
10 2 0 -125
11 2 25 -100
12 2 -100 25
13 2 -125 0
14 2 -100 -25
15 2 -75 0
16 2 0 125
17 2 -25 100
18 2 0 75
19 2 55 60
0 3 0 100
1 3 -100 0
2 3 0 -100
3 3 100 0
4 3 100 25
5 3 75 0
6 3 100 -25
7 3 125 0
8 3 0 -75
9 3 -25 -100
10 3 0 -125
11 3 25 -100
12 3 -100 25
13 3 -125 0
14 3 -100 -25
15 3 -75 0
16 3 0 125
17 3 -25 100
18 3 0 75
19 3 70 40
0 4 0 100
1 4 -100 0
2 4 0 -100
3 4 100 0
4 4 100 25
5 4 75 0
6 4 100 -25
7 4 125 0
8 4 0 -75
9 4 -25 -100
10 4 0 -125
11 4 25 -100
12 4 -100 25
13 4 -125 0
14 4 -100 -25
15 4 -75 0
16 4 0 125
17 4 -25 100
18 4 0 75
19 4 85 10
0 5 0 100
1 5 -100 0
2 5 0 -100
3 5 100 0
4 5 100 25
5 5 75 0
6 5 100 -25
7 5 125 0
8 5 0 -75
9 5 -25 -100
10 5 0 -125
11 5 25 -100
12 5 -100 25
13 5 -125 0
14 5 -100 -25
15 5 -75 0
16 5 0 125
17 5 -25 100
18 5 0 75
19 5 70 -15
0 6 0 100
1 6 -100 0
2 6 0 -100
3 6 100 0
4 6 100 25
5 6 75 0
6 6 100 -25
7 6 125 0
8 6 0 -75
9 6 -25 -100
10 6 0 -125
11 6 25 -100
12 6 -100 25
13 6 -125 0
14 6 -100 -25
15 6 -75 0
16 6 0 125
17 6 -25 100
18 6 0 75
19 6 55 -40
0 7 0 100
1 7 -100 0
2 7 0 -100
3 7 100 0
4 7 100 25
5 7 75 0
6 7 100 -25
7 7 125 0
8 7 0 -75
9 7 -25 -100
10 7 0 -125
11 7 25 -100
12 7 -100 25
13 7 -125 0
14 7 -100 -25
15 7 -75 0
16 7 0 125
17 7 -25 100
18 7 0 75
19 7 40 -60
0 8 0 100
1 8 -100 0
2 8 0 -100
3 8 100 0
4 8 100 25
5 8 75 0
6 8 100 -25
7 8 125 0
8 8 0 -75
9 8 -25 -100
10 8 0 -125
11 8 25 -100
12 8 -100 25
13 8 -125 0
14 8 -100 -25
15 8 -75 0
16 8 0 125
17 8 -25 100
18 8 0 75
19 8 25 -85
0 9 0 100
1 9 -100 0
2 9 0 -100
3 9 100 0
4 9 100 25
5 9 75 0
6 9 100 -25
7 9 125 0
8 9 0 -75
9 9 -25 -100
10 9 0 -125
11 9 25 -100
12 9 -100 25
13 9 -125 0
14 9 -100 -25
15 9 -75 0
16 9 0 125
17 9 -25 100
18 9 0 75
19 9 -15 -85
0 10 0 100
1 10 -100 0
